12.5  	51.94	51.94	43.3	43.3	46.18
16  	59.08	59.08	57.37	57.37	58.26
20  	66.78	66.78	64.85	64.85	65.51
25  	62.62	62.07	58.23	58.78	60.83
31.5  	71.1	70.67	67.98	68.36	69.65
40  	86.9	86.39	83.23	83.9	85.25
50  	84.33	82.67	76.06	78.87	81.42
63  	79.08	77.28	72.65	73.61	75.37
80  	75.83	74.13	68.74	70.02	72.08
100  	76.26	74.37	70.31	72.18	73.44
125  	81.76	79.12	72.95	75.73	77.17
160  	79.31	77.15	72.57	75.06	76.27
200  	81.37	79.2	73.08	75.57	77.19
250  	84.01	81.98	77.86	79.87	81.02
315  	85.3	83.44	79.71	81.96	82.69
400  	84.74	83.27	79.46	81.31	82.52
500  	86.78	84.45	81.34	82.87	83.63
630  	87.27	85.78	82.97	84.51	85.08
800  	89.73	87.93	85.24	86.98	87.41
1   	87.96	86.91	84.29	85.71	86.37
1.25   	87.11	85.81	83.48	84.85	85.32
1.6   	85.01	83.91	82.26	83.07	83.5
2   	84.21	83.22	81.26	82.41	82.89
2.5   	82.46	81.72	80.04	80.88	81.27
3.15   	80.58	79.5	77.42	78.8	79.21
4   	77.9	77.33	76.1	76.9	77.16
5   	74.5	73.64	71.97	73.04	73.4
6.3   	70.21	69.21	67.96	68.47	68.88
8   	67.08	66.11	64.13	65.22	65.7
10   	61.13	60.54	59.17	60.02	60.28
12.5   	56.68	55.61	53.13	54.75	55.27
16   	51.33	49.85	45.7	48.68	49.4
20   	45.98	43.97	38.85	42.64	43.4
A	95.1	94.39	93.38	94.04	94.23
Z	96.47	95.94	94.88	95.44	95.77
