12.5  	51.8	51.8	43.06	43.06	46.05
16  	57.09	57.09	52.68	52.68	54.92
20  	70.11	70.11	66.51	66.51	69.11
25  	62.26	61.75	57.76	58.42	59.94
31.5  	70.74	69.35	65.33	66.02	67.31
40  	86.87	85.46	78.57	80.41	82.73
50  	79.23	76.97	69.83	71.93	74.57
63  	76.55	73.39	66.37	68.93	71.13
80  	73.38	72.06	65.68	66.91	70.24
100  	77.47	75.48	69.46	72.28	73.9
125  	86.31	83.29	72.27	76.99	80.12
160  	80.8	78.57	69.61	74.31	76.68
200  	83.25	80.93	75.24	78.08	79.58
250  	84.27	82.33	77.04	79.4	81.04
315  	84.01	82.09	78.38	80.3	81.45
400  	87.44	85.28	81.5	83.23	84.26
500  	86.44	85.19	81.66	83.16	84.04
630  	87.3	86.08	83.18	84.37	85.53
800  	87.18	86	83.58	84.79	85.42
1   	86.79	85.68	83.6	84.39	85.22
1.25   	86.1	85.21	82.95	84	84.73
1.6   	86.8	86.11	84.23	85.23	85.63
2   	84.56	83.54	82.09	82.81	83.22
2.5   	82.88	81.93	80.5	81.02	81.61
3.15   	80.65	79.53	77.59	78.6	79.11
4   	77.31	76.68	75.3	75.59	76.39
5   	75.41	74.62	73.41	73.96	74.39
6.3   	72.32	71.39	69.92	70.43	71.06
8   	67.75	67.03	65.06	66.01	66.63
10   	63.03	62.05	60.09	61.27	61.7
12.5   	56.5	55.46	53	54.22	55.1
16   	50.83	49.65	46.86	48.24	49.19
20   	43.93	42.88	39.45	41.41	42.4
A	94.87	94.32	93.51	93.55	94.14
Z	96.3	95.71	94.55	95.12	95.46
