12.5  	44.6	44.6	38.47	38.47	41.28
16  	48.09	48.09	43.54	43.54	45.51
20  	58.11	58.11	55.67	55.67	56.89
25  	53.1	52.61	47.23	48.22	50.52
31.5  	50.47	49.95	45.07	45.75	47.56
40  	62.42	61.85	54.45	56.02	58.99
50  	81.84	80.52	67.96	72.83	76.86
63  	65.88	64.57	59.57	61.47	62.94
80  	73.65	72.33	66.34	68.5	70.18
100  	77.68	75.49	68.83	72.24	73.86
125  	82.84	80.51	72.76	77.49	79
160  	82.69	80.27	73.67	77.51	78.95
200  	80.23	78.13	71.73	75.17	76.8
250  	82.86	80.99	75.22	78.18	79.47
315  	83.92	81.45	77.67	79.71	80.72
400  	88.82	87.34	84.47	85.85	86.65
500  	99.06	97.22	92.19	95.19	96.21
630  	86.03	84.8	82.37	83.67	84.24
800  	86.27	85	82.31	84	84.52
1   	87.51	86.32	83.79	85.22	85.82
1.25   	82.77	81.65	79.41	80.8	81.25
1.6   	83.13	82.1	80.35	81.31	81.67
2   	80.23	79.26	77.52	78.49	78.87
2.5   	79.79	78.94	77.31	78.3	78.66
3.15   	79.99	79.08	77.32	78.37	78.81
4   	77.11	75.95	73.68	75.16	75.59
5   	72.55	71.78	70.14	71.01	71.43
6.3   	69.43	68.53	66.27	67.42	68.05
8   	65.89	64.7	62.2	63.56	64.31
10   	63.38	61.39	57.79	59.84	60.91
12.5   	59.36	57.58	53.05	55.75	57
16   	52.78	50.99	46.18	49.19	50.39
20   	45.95	43.4	37.58	41.24	42.65
A	97.41	96.22	93.89	95.02	95.59
Z	100.27	98.87	96.2	97.49	98.16
