12.5  	48.63	48.63	43.46	43.46	45.9
16  	56.59	56.59	53.66	53.66	55.33
20  	67.92	67.92	65.93	65.93	66.97
25  	62.43	61.65	58.12	59.08	60.3
31.5  	61.58	61.04	57.41	58.33	60
40  	58.1	57.39	54.08	55.1	56.33
50  	74.55	72.89	65.16	68.51	71.1
63  	61.15	60.03	55.04	57.17	58.95
80  	74.49	72.18	64.3	66.3	68.77
100  	75.84	73.41	66.32	70.13	71.79
125  	80.35	77.87	70.26	74.05	75.7
160  	82.43	80.74	74.88	77.28	78.82
200  	85.67	83.71	77.01	79.66	81.73
250  	87.25	85.02	78.26	80.93	83.08
315  	85.16	82.9	78.21	80.6	81.79
400  	87.09	84.97	81	82.64	83.88
500  	85.87	84.36	81.2	82.79	83.67
630  	86.45	85.21	81.67	83.33	84.34
800  	87.35	85.98	83.38	84.87	85.56
1   	87.55	86.04	83.34	84.75	85.55
1.25   	86.89	85.93	83.76	85.07	85.48
1.6   	87.07	86.17	84.54	84.86	85.74
2   	84.23	83.19	81.85	82.19	82.8
2.5   	82.29	81.5	79.9	80.63	81.13
3.15   	80.08	79.28	77.73	78.41	78.85
4   	77.64	76.92	75.57	76.16	76.71
5   	76.06	75.15	74.06	74.58	74.97
6.3   	72.89	71.78	70.19	71.03	71.47
8   	68.31	67.52	65.88	66.61	67.23
10   	63.22	62.52	60.82	61.69	62.29
12.5   	57.01	56.33	54.2	55.48	56.09
16   	52.95	51.75	49.31	50.74	51.42
20   	46.95	45.6	42.05	44.06	45.03
A	94.99	94.33	93.37	93.55	94.16
Z	96.24	95.56	94.42	94.63	95.24
